Journée,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Classement Home,Classement Away,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
13,Marseille,Dijon,2,0,H,6,19,55,31,54,29,50,55,4,-26,150,35
13,Monaco,Paris SG,0,4,A,17,1,33,88,36,100,55,32,-19,68,215,500
13,Rennes,Nantes,1,1,D,12,10,46,47,50,47,51,46,-1,1,68,60
14,Lyon,St Etienne,1,0,H,3,4,66,62,63,55,45,40,18,15,285,74
14,Caen,Monaco,0,1,A,18,17,33,33,29,36,49,55,-20,-19,34,215
14,Dijon,Bordeaux,0,0,D,19,14,31,38,29,33,55,41,-26,-8,35,70
14,Nantes,Angers,1,1,D,10,13,47,45,47,43,46,43,1,0,60,30
14,Paris SG,Toulouse,1,0,H,1,15,88,38,100,32,32,50,68,-18,500,35
14,Reims,Guingamp,2,1,H,9,20,49,26,35,25,41,64,-6,-39,40,30
14,Strasbourg,Nimes,0,1,A,11,8,46,52,57,53,46,53,11,0,37,20
14,Amiens,Marseille,1,3,A,16,6,35,55,29,54,49,50,-20,4,36,150
14,Montpellier,Rennes,2,2,D,5,12,58,46,52,50,40,51,12,-1,41,68
14,Nice,Lille,2,0,H,7,2,53,72,28,62,32,30,-4,32,50,90
15,St Etienne,Nantes,3,0,H,4,10,62,47,55,47,40,46,15,1,74,60
15,Angers,Caen,1,1,D,13,18,45,33,43,29,43,49,0,-20,30,34
15,Guingamp,Nice,0,0,D,20,7,26,53,25,28,64,32,-39,-4,30,50
15,Lille,Lyon,2,2,D,2,3,72,66,62,63,30,45,32,18,90,285
15,Monaco,Montpellier,1,2,A,17,5,33,58,36,52,55,40,-19,12,215,41
15,Nimes,Amiens,3,0,H,8,16,52,35,53,29,53,49,0,-20,20,36
15,Bordeaux,Paris SG,2,2,D,14,1,38,88,33,100,41,32,-8,68,70,500
15,Marseille,Reims,0,0,D,6,9,55,49,54,35,50,41,4,-6,150,40
15,Rennes,Strasbourg,1,4,A,12,11,46,46,50,57,51,46,-1,11,68,37
15,Toulouse,Dijon,2,2,D,15,19,38,31,32,29,50,55,-18,-26,35,35
16,Amiens,Monaco,0,2,A,16,17,35,33,29,36,49,55,-20,-19,36,215
16,Montpellier,Lille,0,1,A,5,2,58,72,52,62,40,30,12,32,41,90
16,Nice,Angers,0,0,D,7,13,53,45,28,43,32,43,-4,0,50,30
16,Bordeaux,St Etienne,3,2,H,14,4,38,62,33,55,41,40,-8,15,70,74
16,Caen,Nimes,1,2,A,18,8,33,52,29,53,49,53,-20,0,34,20
16,Dijon,Guingamp,2,1,H,19,20,31,26,29,25,55,64,-26,-39,35,30
16,Lyon,Rennes,0,2,A,3,12,66,46,63,50,45,51,18,-1,285,68
16,Nantes,Marseille,3,2,H,10,6,47,55,47,54,46,50,1,4,60,150
16,Reims,Toulouse,0,1,A,9,15,49,38,35,32,41,50,-6,-18,40,35
16,Strasbourg,Paris SG,1,1,D,11,1,46,88,57,100,46,32,11,68,37,500
17,Guingamp,Amiens,1,2,A,20,16,26,35,25,29,64,49,-39,-20,30,36
17,Rennes,Dijon,2,0,H,12,19,46,31,50,29,51,55,-1,-26,68,35
17,Lille,Reims,1,1,D,2,9,72,49,62,35,30,41,32,-6,90,40
17,Strasbourg,Caen,2,2,D,11,18,46,33,57,29,46,49,11,-20,37,34
18,Reims,Strasbourg,2,1,H,9,11,49,46,35,57,41,46,-6,11,40,37
18,Lyon,Monaco,3,0,H,3,17,66,33,63,36,45,55,18,-19,285,215
18,Nice,St Etienne,1,1,D,7,4,53,62,28,55,32,40,-4,15,50,74
18,Nimes,Lille,2,3,A,8,2,52,72,53,62,53,30,0,32,20,90
18,Caen,Toulouse,2,1,H,18,15,33,38,29,32,49,50,-20,-18,34,35
19,Angers,Marseille,1,1,D,13,6,45,55,43,54,43,50,0,4,30,150
19,Lille,Toulouse,1,2,A,2,15,72,38,62,32,30,50,32,-18,90,35
19,Monaco,Guingamp,0,2,A,17,20,33,26,36,25,55,64,-19,-39,215,30
19,Montpellier,Lyon,1,1,D,5,3,58,66,52,63,40,45,12,18,41,285
19,Paris SG,Nantes,1,0,H,1,10,88,47,100,47,32,46,68,1,500,60
19,Reims,Caen,2,2,D,9,18,49,33,35,29,41,49,-6,-20,40,34
19,Rennes,Nimes,4,0,H,12,8,46,52,50,53,51,53,-1,0,68,20
