Day,Classement Home,Classement Away,FTHG,FTAG,FTR,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
20,6,17,1,1,0,5,55,33,54,36,50,55,4,-19,150,215
20,10,12,0,1,0,47,46,47,50,46,51,1,-1,60,68
20,15,11,1,2,0,38,46,32,57,50,46,-18,11,35,37
17,13,14,1,2,0,45,38,43,33,43,41,0,-8,30,70
18,20,12,2,1,1,26,46,25,50,64,51,-39,-1,30,68
17,17,7,1,1,0,5,33,53,36,28,55,32,-19,-4,215,50
17,8,10,1,0,1,52,47,53,47,53,46,0,1,20,60
17,4,6,2,1,1,62,55,55,54,40,50,15,4,74,150
17,15,3,2,2,0,5,38,66,32,63,50,45,-18,18,35,285
21,2,16,2,1,1,72,35,62,29,30,49,32,-20,90,36
21,17,11,1,5,0,33,46,36,57,55,46,-19,11,215,37
21,8,15,0,1,0,52,38,53,32,53,50,0,-18,20,35
21,1,20,9,0,1,88,26,100,25,32,64,68,-39,500,30
21,9,7,1,1,0,5,49,53,35,28,41,32,-6,-4,40,50
21,13,10,1,0,1,45,47,43,47,43,46,0,1,30,60
21,14,19,1,0,1,38,31,33,29,41,55,-8,-26,70,35
21,18,6,0,1,0,33,55,29,54,49,50,-20,4,34,150
21,12,5,0,0,0,5,46,58,50,52,51,40,-1,12,68,41
21,4,3,1,2,0,62,66,55,63,40,45,15,18,74,285
20,8,13,3,1,1,52,45,53,43,53,43,0,0,20,30
22,6,2,1,2,0,55,72,54,62,50,30,4,32,150,90
22,19,17,2,0,1,31,33,29,36,55,55,-26,-19,35,215
22,20,9,0,1,0,26,49,25,35,64,41,-39,-6,30,40
22,7,8,2,0,1,53,52,28,53,32,53,-4,0,50,20
22,11,14,1,0,1,46,38,57,33,46,41,11,-8,37,70
22,16,3,0,1,0,35,66,29,63,49,45,-20,18,36,285
22,5,18,2,0,1,58,33,52,29,40,49,12,-20,41,34
22,1,12,4,1,1,88,46,100,50,32,51,68,-1,500,68
22,15,13,0,0,0,5,38,45,32,43,50,43,-18,0,35,30
22,10,4,1,1,0,5,47,62,47,55,46,40,1,15,60,74
23,2,7,4,0,1,72,53,62,28,30,32,32,-4,90,50
23,13,19,1,0,1,45,31,43,29,43,55,0,-26,30,35
23,17,15,2,1,1,33,38,36,32,55,50,-19,-18,215,35
23,9,6,2,1,1,49,55,35,54,41,50,-6,4,40,150
23,12,16,1,0,1,46,35,50,29,51,49,-1,-20,68,36
23,3,1,2,1,1,66,88,63,100,45,32,18,68,285,500
23,8,5,1,1,0,5,52,58,53,52,53,40,0,12,20,41
18,6,14,1,0,1,55,38,54,33,50,41,4,-8,150,70
24,19,6,1,2,0,31,55,29,54,55,50,-26,4,35,150
24,16,18,1,0,1,35,33,29,29,49,49,-20,-20,36,34
24,1,14,1,0,1,88,38,100,33,32,41,68,-8,500,70
24,11,13,1,2,0,46,45,57,43,46,43,11,0,37,30
24,20,2,0,2,0,26,72,25,62,64,30,-39,32,30,90
24,5,17,2,2,0,5,58,33,52,36,40,55,12,-19,41,215
24,10,8,2,4,0,47,52,47,53,46,53,1,0,60,20
24,7,3,1,0,1,53,66,28,63,32,45,-4,18,50,285
24,12,4,3,0,1,46,62,50,55,51,40,-1,15,68,74
24,15,9,1,1,0,5,38,49,32,35,50,41,-18,-6,35,40
25,18,10,0,1,0,33,47,29,47,49,46,-20,1,34,60
25,4,11,2,1,1,62,46,55,57,40,46,15,11,74,37
25,3,20,2,1,1,66,26,63,25,45,64,18,-39,285,30
25,8,19,2,0,1,52,31,53,29,53,55,0,-26,20,35
25,13,7,3,0,1,45,53,43,28,43,32,0,-4,30,50
25,6,16,2,0,1,55,35,54,29,50,49,4,-20,150,36
25,17,10,1,0,1,33,47,36,47,55,46,-19,1,215,60
25,14,15,2,1,1,38,38,33,32,41,50,-8,-18,70,35
25,18,11,0,0,0,5,33,46,29,57,49,46,-20,11,34,37
25,2,5,0,0,0,5,72,58,62,52,30,40,32,12,90,41
25,9,12,2,0,1,49,46,35,50,41,51,-6,-1,40,68
25,4,1,0,1,0,62,88,55,100,40,32,15,68,74,500
23,14,20,0,0,0,5,38,26,33,25,41,64,-8,-39,70,30
17,1,5,5,1,1,88,58,100,52,32,40,68,12,500,41
26,19,4,0,1,0,31,62,29,55,55,40,-26,15,35,74
26,11,2,1,1,0,5,46,72,57,62,46,30,11,32,37,90
26,16,7,1,0,1,35,53,29,28,49,32,-20,-4,36,50
26,20,13,1,0,1,26,45,25,43,64,43,-39,0,30,30
26,1,8,3,0,1,88,52,100,53,32,53,68,0,500,20
26,17,3,2,0,1,33,66,36,63,55,45,-19,18,215,285
26,5,9,2,4,0,58,49,52,35,40,41,12,-6,41,40
26,10,14,1,0,1,47,38,47,33,46,41,1,-8,60,70
26,12,6,1,1,0,5,46,55,50,54,51,50,-1,4,68,150
26,15,18,1,1,0,5,38,33,32,29,50,49,-18,-20,35,34
27,13,17,2,2,0,5,45,33,43,36,43,55,0,-19,30,215
27,18,1,1,2,0,33,88,29,100,49,32,-20,68,34,500
27,9,16,2,2,0,5,49,35,35,29,41,49,-6,-20,40,36
27,20,10,0,0,0,5,26,47,25,47,64,46,-39,1,30,60
27,2,19,1,0,1,72,31,62,29,30,55,32,-26,90,35
